dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
autoUniv-au6-750,CatBoost,675,75,8,0.8359508514404297,1.948448896408081,0.14589619636535645,0.25333333015441895,0.1141539120581001
autoUniv-au6-750,ExtraTrees,675,75,8,0.8279107809066772,1.925689458847046,0.10867050290107727,0.25333333015441895,0.09685120289213955
autoUniv-au6-750,LightGBM,675,75,8,0.7961525917053223,1.8526629209518433,0.15402056276798248,0.3733333349227905,0.11641526594758034
autoUniv-au6-750,LinearModel,675,75,8,0.8526991009712219,1.9983336925506592,0.009011998772621155,0.2266666740179062,0.027693690033629537
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8537380695343018,1.9984822273254395,0.033629775047302246,0.20000000298023224,0.08410365507006645
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8516865968704224,1.988919734954834,0.026052797213196754,0.20000000298023224,0.08886237815022469
autoUniv-au6-750,RandomForest,675,75,8,0.7763004302978516,1.8061480522155762,0.09562454372644424,0.36000001430511475,0.07919347402639687
autoUniv-au6-750,XGBoost,675,75,8,0.8057730197906494,1.8888921737670898,0.1381637454032898,0.3866666555404663,0.08455043286085129
autoUniv-au7-1100,CatBoost,990,110,5,0.7285135984420776,1.4077626466751099,0.1218654215335846,0.4272727370262146,0.03136761882342398
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7469781637191772,1.4568675756454468,0.14700070023536682,0.4272727370262146,0.034203023882582784
autoUniv-au7-1100,LightGBM,990,110,5,0.7254534363746643,1.4024569988250732,0.1351333111524582,0.40909090638160706,0.036473122891038656
autoUniv-au7-1100,LinearModel,990,110,5,0.7720018029212952,1.5187482833862305,0.07486142218112946,0.3545454442501068,0.03299686103127897
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7371903657913208,1.4260212182998657,0.06359747052192688,0.38181817531585693,0.02603212115354836
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7260676026344299,1.4103107452392578,0.1228969544172287,0.3909091055393219,0.024383774027228355
autoUniv-au7-1100,RandomForest,990,110,5,0.7115715742111206,1.3994401693344116,0.09003721922636032,0.4272727370262146,0.02668136707507074
autoUniv-au7-1100,XGBoost,990,110,5,0.7129727005958557,1.3772716522216797,0.11225330829620361,0.4000000059604645,0.031899043126031756
autoUniv-au7-700,CatBoost,630,70,3,0.574108362197876,0.9650060534477234,0.14893533289432526,0.4714285731315613,0.02624485595151782
autoUniv-au7-700,ExtraTrees,630,70,3,0.5649408102035522,0.9459466338157654,0.1123671755194664,0.4571428596973419,0.02382525894790888
autoUniv-au7-700,LightGBM,630,70,3,0.5386680960655212,0.9018664956092834,0.11147226393222809,0.4571428596973419,0.030707526952028275
autoUniv-au7-700,LinearModel,630,70,3,0.6740624308586121,1.1119989156723022,0.08674934506416321,0.3571428656578064,0.06221250910311937
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6148844957351685,1.0238862037658691,0.06753392517566681,0.48571428656578064,0.02464530011638999
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6282660961151123,1.0384935140609741,0.07692815363407135,0.44285714626312256,0.019271220080554485
autoUniv-au7-700,RandomForest,630,70,3,0.5382500290870667,0.8859279751777649,0.13729120790958405,0.5285714268684387,0.019437610171735287
autoUniv-au7-700,XGBoost,630,70,3,0.5442705154418945,0.9209832549095154,0.1485642045736313,0.5142857432365417,0.02950557298026979
balance-scale,CatBoost,562,63,3,0.02492661587893963,0.05834835022687912,0.03588614612817764,0.9841269850730896,0.025426235049962997
balance-scale,ExtraTrees,562,63,3,0.12013214826583862,0.23199720680713654,0.08994980156421661,0.8888888955116272,0.04702554689720273
balance-scale,LightGBM,562,63,3,0.048239562660455704,0.0972369909286499,0.047366999089717865,0.9682539701461792,0.015138864982873201
balance-scale,LinearModel,562,63,3,0.09005273878574371,0.16550928354263306,0.06773097068071365,0.920634925365448,0.017770256148651242
balance-scale,NeuralNetFastAI,562,63,3,0.008058383129537106,0.019162315875291824,0.01588953100144863,1.0,0.021881602937355638
balance-scale,NeuralNetTorch,562,63,3,0.0005838194629177451,0.0028895721770823,0.0027295267209410667,1.0,0.04636595002375543
balance-scale,RandomForest,562,63,3,0.1210770457983017,0.24089394509792328,0.08836357295513153,0.9047619104385376,0.03256746008992195
balance-scale,XGBoost,562,63,3,0.03250666335225105,0.07077618688344955,0.051040127873420715,0.9841269850730896,0.018209833884611726
baseball,CatBoost,1206,134,3,0.07244020700454712,0.13860592246055603,0.032346438616514206,0.9552238583564758,0.018136619124561548
